GENE       CHR      START       STOP  NSNPS  NPARAM         N        ZSTAT            P
51232        2   36583370   36778278      1       1     30200       4.5264        3e-06
9637         2   36779397   36825333      2       1     19629       5.2253   8.6944e-08
25797        2   37571742   37600465      1       1     22824       0.5244          0.3
79823        2   44589043   44999731      1       1   1559541      0.25335          0.4
5581         2   45878454   46415129      2       1     36257       6.1094        5e-10
2034         2   46524541   46613842      1       1     19629       5.4188        3e-08
9378         2   50145643   51259674      2       1      7939       6.1094        5e-10
98           2   54342410   54532437      1       1       777       4.9354        4e-07
5194         2   61244812   61279125      1       1     26502      0.25335          0.4
7514         2   61705069   61765440      1       1       777       4.2884        9e-06
57162        2   64319786   64371605      1       1       777       4.3776        6e-06
7072         2   70436576   70475886      1       1       536       4.3439        7e-06
200403       2   98703595   98929410      1       1       777       4.2884        9e-06
376940       2  113033178  113097640      1       1       777       4.8916        5e-07
23332        2  122095352  122407052      4       1      1709       4.0731   2.3191e-05
274          2  127805599  127864903      1       1     15100       4.3439        7e-06
344148       2  133429361  134399118      2       1     43758       3.9122   4.5736e-05
53353        2  140988996  142889270      1       1       777       4.3145        8e-06
55777        2  148778580  149271046      2       1     65238      0.06352      0.47468
114793       2  153191684  153506348      1       1     15100       4.5264        3e-06
130940       2  159027869  159313297      1       1       777       4.3145        8e-06
151525       2  160092304  160143304      1       1       777       4.3145        8e-06
10010        2  161993438  162092687      2       1   1938953       3.7075   0.00010464
27347        2  168810530  169104105      1       1       190       4.7534        1e-06
8647         2  169779336  169887833      1       1       777       4.3439        7e-06
4036         2  169983619  170219123      1       1     15100       4.5264        3e-06
2571         2  171673200  171717661      1       1       498       4.7747        9e-07
254042       2  172864804  172947158      1       1       498       4.2884        9e-06
51454        2  189156396  189460653      1       1     19629       5.3671        4e-08
5334         2  198669426  199014608      1       1     22824      0.84162          0.2
65059        2  204298538  204400058      1       1     30200       4.6114        2e-06
5746         2  209224569  209359231      1       1       498       4.3145        8e-06
285175       2  210636717  210864024      1       1       777       4.3439        7e-06
151050       2  210885435  211036068      1       1       777       4.2884        9e-06
2066         2  212240442  213403879      1       1       777       4.3776        6e-06
55825        2  216903111  216946539      1       1     33265       5.8842        2e-09
55619        2  225629807  225907330      1       1     22824     -0.25335          0.6
92737        2  230222345  230579286      2       1       777       5.0382   2.3501e-07
129563       2  232826293  233208678      1       1       777       4.8916        5e-07
26058        2  233562015  233725287      1       1       777       4.9912        3e-07
116987       2  236402733  237040444      2       1     17499       6.1094        5e-10
79781        2  237232790  237416178      1       1       777       4.5264        3e-06
2859         2  241544825  241570676      1       1     18049     -0.84162          0.8
728763       2  241872287  241905525      1       1       777       4.6114        2e-06
56852        3    8918880    9005159      1       1       777       4.3145        8e-06
9686         3   11597543   11762220      1       1     15100       4.4652        4e-06
5468         3   12329349   12475855      1       1       777       4.4652        4e-06
92106        3   16306667   16379000      1       1       777       4.4652        4e-06
79750        3   21459911   22414132      1       1       777       4.7534        1e-06
25827        3   33318934   33445505      1       1       777       4.5264        3e-06
54977        3   39424815   39438819      1       1       275       5.3267        5e-08
10181        3   50126341   50156397      1       1   3790789   1.3915e-16          0.5
55193        3   52579368   52719866      1       1   3315213       5.4909        2e-08
7474         3   55499743   55521670      1       1    120487       5.4188        3e-08
201626       3   57541882   57640704      1       1     19629       5.4909        2e-08
201627       3   57611181   57678816      1       1     19629       5.4909        2e-08
2272         3   59735036   61237133      3       2      5551       5.6551   7.7894e-09
8618         3   62384021   62861064      1       1     19629       5.8168        3e-09
166336       3   64079526   64253859      1       1     15100       4.6114        2e-06
407738       3   68040734   68594772      1       1       777       4.4172        5e-06
4286         3   69788586   70017488      2       1     36317       4.0833   2.2198e-05
27086        3   71003865   71633140      2       1    292875       3.7144   0.00010186
6091         3   78646388   79817059      1       1     53004       5.6505        8e-09
253559       3   85008133   86123579      1       1       777       4.4652        4e-06
2042         3   89156674   89531284      2       1     36317       4.2637   1.0054e-05
1295         3   99357440   99518061      1       1       777       4.4652        4e-06
1814         3  113847499  113918254      1       1       777       4.5264        3e-06
84303        3  126423063  126679263      1       1       777       4.3776        6e-06
80321        3  138213186  138313187      1       1       963       4.3145        8e-06
7220         3  142443266  142526730      1       1     26502      -1.2816          0.9
5352         3  145787225  145879282      1       1       777       4.4172        5e-06
23007        3  155197670  155462878      1       1     15100       4.3776        6e-06
100505385    3  158787041  159615155      2       1     39753      -0.3881      0.65103
29970        3  158991036  159615155      2       1     39753      -0.3881      0.65103
83893        3  172607147  172859058      1       1     15100       4.4652        4e-06
79718        3  176738542  176915048      1       1       777       4.5264        3e-06
23355        3  184529925  184770402      1       1       777       4.3145        8e-06
4026         3  187871097  188608460      1       1     15100       4.6114        2e-06
344901       3  190917039  190983404      5       1     35257       4.7424   1.0559e-06
1739         3  196769431  197026171      1       1       939       4.4172        5e-06
53834        4    1004712    1020686      1       1     56353       5.6997        6e-09
402160       4    2420701    2464690      1       1     45300       4.5264        3e-06
6452         4    2794750    2842823      1       1     15100       4.6114        2e-06
57537        4    7194374    7744564      2       1     22650        5.354   4.3022e-08
60312        4    7760440    7941653      1       1     26502       5.4909        2e-08
8532         4    8594387    8621488      1       1       777       4.5264        3e-06
9353         4   20254566   20622184      1       1       777       4.4652        4e-06
80333        4   20730234   21950424      1       1       777       4.7534        1e-06
10891        4   23793644   24474394      1       1   3402872     -0.25335          0.6
55203        4   25000471   25032414      1       1       777       4.3439        7e-06
116984       4   36067620   36245979      1       1       190       4.9354        4e-07
2560         4   47033295   47432801      1       1     15100       4.3776        6e-06
57205        4   47487296   47595503      1       1       777       4.3776        6e-06
152579       4   53738797   54232242      3       2     26761       3.9529   3.8612e-05
100506564    4   57396775   57469489      1       1       777       4.8916        5e-07
10886        4   72897521   73013918      1       1      1076       4.6114        2e-06
419          4   76932333   77033955      1       1     19629       5.3671        4e-08
100631383    4   77172853   77232283      1       1       777       4.4172        5e-06
83478        4   86068860   86923823      1       1     15100       4.6114        2e-06
4299         4   87855758   88062206      1       1     19629       5.6302        9e-09
57563        4   88081260   88161466      2       1   1847421       6.1094        5e-10
10144        4   89647105   90032549      1       1       777       4.4652        4e-06
5530         4  101944587  102268655      1       1    915437       5.6734        7e-09
5393         4  122722445  122738176      1       1       777       4.4652        4e-06
55534        4  140637545  141075233      1       1     15100       4.3145        8e-06
166752       4  144498560  144621828      2       1     48346       4.0241   2.8602e-05
4306         4  148999915  149365850      1       1       777       4.6114        2e-06
987          4  151185811  151936879      1       1       777       4.3776        6e-06
54798        4  155155527  155412930      2       1       777       4.3262   7.5839e-06
80014        4  184020463  184241930      1       1     21297       5.6997        6e-09
83891        4  186130773  186285120      1       1     15100       4.6114        2e-06
2160         4  187187099  187210835      1       1       777       4.6114        2e-06
108          5    7396343    7830194      2       1       777       4.2254   1.1924e-05
9037         5    9035138    9546233      1       1       777       4.5264        3e-06
23194        5   15500305   15939905      2       1     53004       -0.406      0.65763
23037        5   31639345   32111038      1       1       777       4.7534        1e-06
133584       5   38258511   38465582      1       1     15100       4.6114        2e-06
54622        5   53180578   53606403      1       1     19629        5.612        1e-08
5144         5   58264865   59783925      1       1       777       4.8556        6e-07
57688        5   60628100   60841999      1       1     19629   1.3915e-16          0.5
51194        5   61699522   61924416      1       1     19629       5.8168        3e-09
57486        5   65018023   65125111      1       1     15100       4.3776        6e-06
256987       5   79407050   79551898      1       1       777       4.6114        2e-06
23635        5   80713179   81047072      1       1       536       4.4652        4e-06
7518         5   82373317   82649579      2       1     39053    -0.091875       0.5366
10085        5   83236414   83680685      3       2    148267       5.0669   2.0216e-07
83989        5   92953431   93447404      2       1     30290       6.1094        5e-10
285600       5   93486556   93954309      2       1     22061       5.2264   8.6422e-08
64839        5  107194734  107718080      4       2    243778       6.8648   3.3297e-12
4163         5  112357796  112824527      1       1     33265       5.3671        4e-08
51397        5  115420727  115628978      1       1       777       4.3439        7e-06
3295         5  118788138  118878030      1       1     53004       5.8168        3e-09
153443       5  121297656  121364295      1       1       777       4.3776        6e-06
28966        5  122181149  122347317      1       1    215717       5.9978        1e-09
153241       5  122680579  122759286      1       1       777       4.3776        6e-06
27125        5  132211071  132299354      1       1     19629       5.4909        2e-08
100996485    5  134368970  134680370      3       1    572604       4.7559   9.8784e-07
56147        5  140165876  140391929      1       1    327444     -0.84162          0.8
56146        5  140174444  140391929      1       1    327444     -0.84162          0.8
56145        5  140180783  140391929      1       1    327444     -0.84162          0.8
56144        5  140186672  140391929      1       1    327444     -0.84162          0.8
56143        5  140201361  140391929      1       1    327444     -0.84162          0.8
56142        5  140207650  140391929      1       1    327444     -0.84162          0.8
56141        5  140213969  140391929      1       1    327444     -0.84162          0.8
56140        5  140220907  140391929      1       1    327444     -0.84162          0.8
9752         5  140227357  140391929      1       1    327444     -0.84162          0.8
56139        5  140235634  140391929      1       1    327444     -0.84162          0.8
56138        5  140247149  140391932      1       1    327444     -0.84162          0.8
56137        5  140254931  140391929      1       1    327444     -0.84162          0.8
56136        5  140261854  140391929      1       1    327444     -0.84162          0.8
56135        5  140306302  140391929      1       1    327444     -0.84162          0.8
56134        5  140345747  140391929      1       1    327444     -0.84162          0.8
2246         5  141971743  142077635      1       1       777       4.3776        6e-06
5521         5  145969067  146461083      1       1       777       4.2884        9e-06
5145         5  149237519  149324356      1       1     19629       5.4909        2e-08
6586         5  168088738  168728133      3       2     10326       6.3783   8.9522e-11
30820        5  169780491  170163636      1       1       777       4.3776        6e-06
6793         5  171469074  171615346      1       1     19629       5.3671        4e-08
92181        5  171636648  171710795      1       1       777       4.4172        5e-06
51617        5  173472607  173536182      1       1      2271       5.9978        1e-09
285676       5  178368194  178393218      1       1     19629       5.3671        4e-08
2762         6    1624035    2245868      2       1      7939       5.9729   1.1654e-09
8737         6    3064201    3115421      1       1       777       4.5264        3e-06
2162         6    6144311    6320924      2       1      8265       5.5233   1.6636e-08
81567        6    7881483    7911047      1       1     28809      0.25335          0.4
255488       6   18277602   18469105      1       1       777       4.2884        9e-06
3077         6   26087422   26096438      1       1  13149004      -0.5244          0.7
64771        6   34555065   34664625      2       1   2364215       3.7902   7.5276e-05
54887        6   34759794   34845291      1       1     19629       5.3267        5e-08
2289         6   35541362   35696360      1       1     19629       5.3671        4e-08
57699        6   36708549   36807220      1       1       777       4.5264        3e-06
9436         6   41303528   41318625      1       1       777       4.5264        3e-06
5190         6   42931611   42946981      1       1       777       4.6114        2e-06
860          6   45296054   45518819      3       1     58478       4.7706   9.1839e-07
5314         6   51480145   51952423      2       1     19629        5.217   9.0901e-08
202559       6   62389865   62996100      1       1       901       4.7747        9e-07
577          6   69345210   70099403      1       1     15100       4.4172        5e-06
22999        6   72596406   73112845      1       1       777       4.3145        8e-06
594          6   80816344   81055987      1       1       777       4.6114        2e-06
25998        6   82879956   82957448      1       1       777       4.2884        9e-06
4907         6   86159302   86205509      1       1       157       4.9354        4e-07
2569         6   89887223   89941007      1       1       777       4.5264        3e-06
6885         6   91223292   91297020      4       1    444748       3.2002   0.00068673
55278        6  107077441  107116292      1       1   3504715     -0.84162          0.8
246269       6  108616098  108846751      6       1   1701712      0.90222      0.18347
221294       6  116421999  116566853      1       1       777       4.7534        1e-06
10345        6  123537484  123958428      1       1     15100        5.069        2e-07
154215       6  124124991  125146786      1       1       777       4.3776        6e-06
60487        6  126307576  126360422      1       1     19629       1.2816          0.1
54806        6  135604670  135818903      1       1       190       5.4909        2e-08
167838       6  139561198  139645148      1       1       157        5.069        2e-07
7402         6  144606434  145174170      1       1       777       4.3439        7e-06
2911         6  146286032  146758782      1       1       777       4.4652        4e-06
23328        6  148663729  148873185      1       1       777       4.4652        4e-06
23118        6  149639436  149732747      2       1    602033       1.5588     0.059521
4988         6  154331631  154568001      1       1       777       4.3145        8e-06
5071         6  161768590  163148834      1       1       777       4.5264        3e-06
64094        6  168841831  169068674      2       1     10203       5.2911   6.0794e-08
253769       6  169857303  170102159      1       1       777       4.3439        7e-06
8379         7    1855428    2272583      1       1       777       4.7534        1e-06
155185       7    2719163    2755069      3       1    547093        6.016   8.9379e-10
2768         7    2767739    2883963      3       1    223975         3.49   0.00024148
729852       7    7680342    7918854      1       1       926       4.3439        7e-06
30010        7    8473585    8792593      1       1       777       4.6114        2e-06
4223         7   15650837   15726308      1       1       777       4.4172        5e-06
155465       7   16899030   16921613      1       1       777       4.4172        5e-06
9734         7   18126572   19039135      2       1     64070      0.85198      0.19711
8701         7   21582833   21941451      1       1       605       4.3439        7e-06
6424         7   37945534   37956525      1       1       777       4.3776        6e-06
6965         7   38279625   38407656      1       1       605       4.4652        4e-06
445347       7   38299243   38357285      1       1       605       4.4652        4e-06
8621         7   39989959   40136733      1       1       428       5.1993        1e-07
23072        7   43152198   43603213      1       1       777       4.5264        3e-06
9263         7   43622692   43666978      1       1     19629       5.7307        5e-09
100130988    7   50135682   50198852      1       1       939       4.2884        9e-06
2887         7   50657760   50861159      4       1    145019       4.7603   9.6668e-07
26053        7   69063905   70257885      1       1       777        5.069        2e-07
64409        7   70597523   71178586      1       1     19629       5.4188        3e-08
9863         7   77646374   79083121      3       1     18119       5.8268   2.8244e-09
781          7   81575760   82073031      1       1       777       4.5264        3e-06
10371        7   83587659   84122040      2       1     19056       5.4594   2.3887e-08
223117       7   84624508   84816171      1       1     19629        5.612        1e-08
219578       7   88388753   88966346      1       1       777       4.9912        3e-07
30816        7   92097694   92107229      1       1       190        5.069        2e-07
1780         7   95401818   95739634      1       1       777       4.9912        3e-07
7455         7  100331249  100395419      1       1    439597        5.612        1e-08
4584         7  100547086  100611617      1       1     26502      0.84162          0.2
5649         7  103112231  103629963      3       1     19629       1.3276     0.092156
375612       7  103969104  104549005      2       1     19629       4.5587   2.5731e-06
9732         7  111366164  111846462      1       1   2365787       4.3439        7e-06
2918         7  126078652  126892428      1       1     15100       4.5264        3e-06
27044        7  127292043  127732659      1       1     15100       4.5264        3e-06
57464        7  129074274  129128240      1       1     15100       4.5264        3e-06
4289         7  130794855  131181398      1       1     15100       4.4172        5e-06
91584        7  131808091  132333447      1       1       777       4.3145        8e-06
80853        7  139784546  139876741      1       1       125       5.1993        1e-07
135935       7  144094333  144107320      1       1       777       4.3145        8e-06
26047        7  145813453  148118090      2       1      7939       4.1692   1.5286e-05
155061       7  149169884  149194928      1       1     26502       5.7685        4e-09
58508        7  151832010  152133090      1       1       777       4.2884        9e-06
140545       7  156432971  156470377      1       1     15100       4.3145        8e-06
54892        7  158424002  158497520      1       1     15100       4.3439        7e-06
64478        8    2792875    4852328      3       2     10326       6.1426   4.0584e-10
9258         8    8640864    8751131      1       1       777       4.6114        2e-06
8658         8    9412756    9639856      1       1       777       4.4172        5e-06
286046       8   10753654   11058875      1       1     26502      0.25335          0.4
83648        8   11278972   11324276      1       1    378511       5.8168        3e-09
10395        8   12940870   13373167      1       1     15100       4.4652        4e-06
4481         8   15965387   16050300      1       1       777       4.6114        2e-06
57509        8   17501303   17658729      1       1       305       5.7307        5e-09
10174        8   22402228   22433008      1       1     22133       1.2816          0.1
157310       8   22570765   22785491      2       1     15489       4.3615   6.4602e-06
2961         8   30436031   30515738      1       1       777       4.2884        9e-06
1142         8   42552562   42592209      1       1     53004     -0.84162          0.8
54212        8   50822349   51706171      1       1       777       4.3776        6e-06
90362        8   58907068   59062277      1       1       777       4.2884        9e-06
5862         8   61429469   61536203      1       1       963       4.3776        6e-06
444          8   62413115   62627199      1       1       157       4.7983        8e-07
2138         8   72109668   72459888      1       1     15100       4.2884        9e-06
27067        8   74332604   74659943      1       1       777       4.5264        3e-06
10404        8   97657455   98155731      1       1       777       4.5264        3e-06
157680       8  100025299  100890447      3       2     30549       4.8358   6.6301e-07
83988        8  102698770  103137135      1       1       777       4.9912        3e-07
51366        8  103264501  103424947      1       1     15100       4.4652        4e-06
55074        8  107282406  107764922      1       1     15100       4.4172        5e-06
401474       8  119201694  119634184      1       1     19629       5.4188        3e-08
5168         8  120569317  120685644      1       1       777       4.4652        4e-06
23639        8  133584201  133687863      1       1       777       4.5264        3e-06
7038         8  133879149  134147146      1       1       777       4.5264        3e-06
169044       8  139600478  139926236      1       1     15100        4.825        7e-07
83696        8  140740324  141468678      1       1     33265       5.9978        1e-09
2765         8  143916217  143928262      1       1     40034       5.3671        4e-08
1761         9     841690     969090      1       1       777       4.2884        9e-06
158358       9    5919008    6008479      1       1       581       4.9912        3e-07
5789         9    8314246   10612723      3       2      5494       6.3108   1.3878e-10
158326       9   14734664   14910993      1       1     15100       4.4652        4e-06
100129385    9   16203933   16276311      1       1     30200       4.4652        4e-06
92949        9   18474079   18910948      1       1       777       4.6114        2e-06
54914        9   20658309   20995954      1       1       777       4.3145        8e-06
158038       9   27948084   29212998      1       1     15100       4.3145        8e-06
48           9   32384601   32450834      1       1       777       4.2884        9e-06
320          9   72042448   72287275      1       1     15100       4.3145        8e-06
256691       9   72658435   72841899      1       1     15100       4.2649        1e-05
80036        9   73143979   74061782      2       1     47409      0.47106       0.3188
2650         9   79034752   79122332      1       1     15100       4.6114        2e-06
23230        9   79792269   80032399      1       1       777        4.825        7e-07
2776         9   80335189   80646219      1       1       926       4.4652        4e-06
4920         9   94484878   94712444      1       1       777       4.7534        1e-06
401541       9   95087741   95377446      1       1     15100       4.4172        5e-06
23299        9   95473645   95527083      1       1   1098661       5.4909        2e-08
158434       9   98868943   98878693      1       1    356258     -0.84162          0.8
3293         9   98997588   99064662      1       1       777       4.6114        2e-06
54886        9  103791031  104087417      1       1      1576        4.825        7e-07
114299       9  112403068  112713756      1       1       777       4.7534        1e-06
445815       9  112542577  112934792      1       1       777       4.7534        1e-06
158405       9  115249248  115427587      1       1     26502      -1.2816          0.9
210          9  116148592  116163618      2       1     24219       1.7106     0.043577
257169       9  116172924  116191964      1       1     22128      0.25335          0.4
85301        9  116918231  117072975      1       1       777       4.4172        5e-06
23245        9  119187504  120177317      1       1       777       4.2884        9e-06
57706        9  126141933  126692423      1       1     15100       4.3776        6e-06
286205       9  127704887  127905838      1       1     15100       4.3776        6e-06
89853        9  129089123  129269320      1       1     33265      0.84162          0.2
9649         9  129677053  129985445      1       1       777       4.6114        2e-06
1289         9  137533651  137736689      1       1       777       4.6114        2e-06
22982       10     320130     735621      2       1       777       4.8005   7.9131e-07
22884       10    1095423    1178237      1       1     15100       4.6114        2e-06
83860       10    7860467    8057016      1       1     15100       4.9912        3e-07
9712        10   11502509   11653679      1       1     15100       4.2649        1e-05
83641       10   14560556   14816896      1       1     26502       5.4188        3e-08
8029        10   16865965   17171816      3       1       839        5.661   7.5226e-09
4360        10   18098332   18200091      2       1     26716       5.2417   7.9534e-08
221078      10   18834264   18948180      1       1       698       4.3145        8e-06
56243       10   23983675   24836772      1       1       605       4.4172        5e-06
57584       10   24872538   25012597      2       1     19629       4.2337   1.1492e-05
56952       10   25137536   25242680      1       1       777       4.6114        2e-06
57512       10   25464290   25891158      1       1       777       4.3145        8e-06
2572        10   26505236   26593491      1       1     15100       4.4172        5e-06
10730       10   27399040   27443349      1       1       777       4.5264        3e-06
220992      10   44101855   44113352      1       1     15100       4.4652        4e-06
80114       10   60272774   60591194      1       1       777       4.6114        2e-06
221037      10   64926983   65225880      1       1       777       4.4172        5e-06
3189        10   70091768   70102953      1       1     15100       4.3776        6e-06
55680       10   70100864   70167051      1       1     15100       4.3776        6e-06
55749       10   70480956   70552134      1       1       777       4.2884        9e-06
10718       10   83635070   84746935      1       1       777       4.4172        5e-06
54537       10   88854953   88951225      1       1     19629       5.4188        3e-08
23232       10   96161956   96296089      1       1     15100       4.9912        3e-07
10580       10   97071530   97321171      2       1     15100       3.6721   0.00012029
9033        10  102047903  102090243      1       1    249259       4.3145        8e-06
6468        10  103370421  103455345      1       1   2389034       5.9978        1e-09
79591       10  103605356  103815932      1       1     51988       5.6302        9e-09
23082       10  103892787  103910090      1       1       777       4.7983        8e-07
26033       10  116853124  117708496      7       1    297313       5.0851   1.8376e-07
11196       10  121652085  121704170      2       1     10203       4.5748   2.3828e-06
196051      10  122216466  122349367      1       1       777       4.4172        5e-06
10579       10  123748689  124014057      1       1       777       4.4172        5e-06
196792      10  124608610  124639157      1       1     19629        5.612        1e-08
118672      10  124739556  124749906      2       1    110853      0.58905      0.27791
36          10  124768429  124817806      2       1     20463       4.3431   7.0237e-06
92565       10  127585108  127698161      1       1       777       4.5264        3e-06
1793        10  128768965  129250780      1       1     15100       4.4172        5e-06
6764        11    8714899    8932498      1       1       777       4.6114        2e-06
56675       11    9002123    9025596      1       1     26502       5.9978        1e-09
10335       11   10594638   10715535      8       2    338106       5.8416   2.5856e-09
340990      11   17568920   17667491      1       1       777       4.5264        3e-06
25841       11   34172534   34379555      1       1       777       4.5264        3e-06
6506        11   35272752   35441610      1       1       777       4.3439        7e-06
57689       11   40135524   41481186      1       1       777       4.3776        6e-06
60529       11   44282278   44331735      1       1    363368      0.25335          0.4
23788       11   47638858   47664206      1       1  11441501       0.5244          0.3
79841       11   47681143   47736928      1       1       777       4.3439        7e-06
23279       11   47799670   47870057      1       1     19629       5.9978        1e-09
222         11   67429633   67448685      1       1    503698       4.3776        6e-06
1740        11   83166055   85338314      7       2     18554       3.9739   3.5355e-05
120114      11   92047446   92629636      8       2     20407        4.863   5.7821e-07
85459       11   93394816   93463524      1       1       777       4.3145        8e-06
53942       11   98891706  100229616      2       1      7903         5.62   9.5501e-09
114908      11  102267056  102323775      1       1       963       4.7534        1e-06
143884      11  107197071  107328572      3       1       777       5.0669   2.0218e-07
341032      11  111126707  111156973      1       1     19629      0.84162          0.2
143903      11  111411233  111432470      1       1     15100       4.7534        1e-06
25996       11  114310108  114321001      1       1       705       4.5264        3e-06
57453       11  117298489  117667976      6       1     31516       5.0115   2.6999e-07
2900        11  120382465  120859514      1       1       777       4.4652        4e-06
28960       11  126173647  126215644      1       1     19629       5.4188        3e-08
2113        11  128328656  128457453      1       1     15100       4.5264        3e-06
23085       12    1100404    1605099      2       1    207346       6.1094        5e-10
84766       12    3722122    3862366      1       1       777       4.4172        5e-06
57101       12    5671817    6055398      1       1     46131        5.612        1e-08
170482      12    7880235    7902069      1       1       777       4.4652        4e-06
2904        12   13713684   14133022      1       1      1050       4.5264        3e-06
9847        12   22601511   22697452      1       1       777       4.3145        8e-06
55259       12   25261223   25348096      1       1      6386       4.4172        5e-06
5744        12   28111017   28125664      1       1     39299       5.4909        2e-08
55297       12   28343360   28703099      1       1       777       4.4172        5e-06
636         12   32259713   32536567      2       1     13640       3.9772   3.4859e-05
225         12   39945022   40013843      1       1       777       4.5264        3e-06
10138       12   42550906   42632154      1       1       777        4.825        7e-07
113251      12   50794592   50873788      1       1   3660990      -1.2816          0.9
1990        12   51722227   51740463      1       1     19629        5.612        1e-08
22818       12   54718874   54745635      1       1     15100       4.4652        4e-06
338811      12   62102029   62586620      1       1       498       4.3439        7e-06
57460       12   63037762   63328665      1       1    404121       4.3439        7e-06
283349      12   65004293   65091347      1       1     19629      -1.2816          0.9
2799        12   65107222   65153226      1       1      9232      -0.5244          0.7
23329       12   65218352   65274802      2       1     19629       1.3999     0.080772
11197       12   65444404   65515346      5       1     19783       2.9628    0.0015245
8549        12   71832931   71980090      1       1       777       4.4172        5e-06
89795       12   78224685   78606790      2       1       638       6.1094        5e-10
8825        12   81191171   81331702      1       1       777       5.1993        1e-07
51134       12   94702056   94853764      1       1       498       4.4172        5e-06
55785       12   95470525   95611240      1       1       428       4.7534        1e-06
121601      12  101133841  101522419      1       1       698       4.5264        3e-06
51019       12  102406717  102455902      1       1     28809       5.8168        3e-09
79023       12  102467967  102514025      1       1     19629      -0.5244          0.7
55010       12  102513956  102591298      2       1     42629        4.551   2.6699e-06
5992        12  106976685  107156582      1       1     19629       5.4188        3e-08
11137       12  108079590  108106257      1       1       777       4.7534        1e-06
84915       12  110152187  110208312      1       1    526778       4.4172        5e-06
59341       12  110220892  110271212      1       1       777       4.4172        5e-06
